"node__approvalTime","node__description","node__existingUnits","node__id","node__issuedAt","node__proposedUnits","node__streetNumbers__streetName","node__streetNumbers__streetNameSuffix","node__streetNumbers__streetNumber","node__streetNumbers__streetNumberSuffix"
"1002","to erect 6 stories, no basement, 53 dwelling units (sro) residential building include ground floor level commercial. maher compliance with ordinance 155-13 required. interim controls.","null","201406269542","2017-03-24","53","Folsom","St","1335","null"
"321","to erect 26 stories, 3 basement, 118 residential units with mix use type 1 construction.","null","201605046495","2017-03-21","118","Fremont","St","325","null"
"196","to erect 3 stories, no basement, type vb, 31 units apartments with parking.** maher: n/a **","null","201608296272","2017-03-13","31","Arelious Walker","Dr","2800","null"
"356","erect 9 story, type 1, zero basement, 113 dwelling unit and retail building.","null","201602179822","2017-02-07","113","Taylor","St","238","null"
"","","","","","","Taylor","St","210","null"
"460","construct (n) hotel/residential building","null","201510301302","2017-02-01","156","Mission","St","526","null"
"539","to erect 5 stories, type va over i, no basement, 20 units residential building.  future address of 601 tennessee. maher compliance required.","null","201508063607","2017-01-26","20","Mariposa","St","595","null"
"199","to erect 4 stories, type va, 30 units student housing with mixed use building.** maher: n/a **","null","201606281077","2017-01-13","30","Arkansas","St","75","null"
"322","to erect 4 stories of 13 dwelling units, with roof deck","null","201602129550","2016-12-30","13","Bay","St","400","null"
"919","to erect 40 stories, 2 basements, 390 units residential & retail building.","null","201406259481","2016-12-30","390","Folsom","St","160","null"
"163","to erect 7 stories, no basement, 60 units residential with mix use type 1 construction.","null","201607192730","2016-12-29","60","Market","St","2100","null"
"937","erect 6-story, no basement, type 1, 15 dwelling units building. compliance w/ ordinance no. 155-13 not required.","null","201405307085","2016-12-22","15","Howard","St","1532","null"
"920","to erect 9 stories, 1 basement, type ib, 160 residential, commercial & below grade parking building.","null","201406108024","2016-12-16","160","Market","St","1699","null"
"201","erect 11-story hi-rise, type 1-b, 230 rooms r-1 (with a-2, a-3, b, m, u & s accessory occupancies), 1 basement, with a roof terrace and ground floor retail building.","null","201605127267","2016-11-29","230","03rd","St","701","null"
"251","to erect 5 stories, 2 basement, residential care for the elderly building.","null","201603152080","2016-11-21","198","Silver","Av","302","null"
